1:4,6,1,5,3,7,8,9,10,2
2:2,10,8,5,6,1,7,4,3,9
3:5,3,1,10,2,7,8,6,9,4
4:5,10,1,2,4,6,7,9,3,8
5:6,8,5,2,7,9,4,10,3,1
6:7,8,10,4,3,1,5,2,9,6
7:3,10,6,5,4,9,1,7,8,2
8:1,2,9,7,10,3,6,4,8,5
9:7,9,5,4,8,3,1,10,6,2
10:4,6,8,9,3,2,7,1,10,5
11:7,10,6,8,1,3,4,9,5,2
12:4,1,7,9,10,8,6,2,5,3
13:8,1,4,2,10,7,9,3,5,6
14:3,7,1,8,2,5,4,6,9,10
15:9,2,6,3,5,4,10,8,1,7
16:2,10,8,7,5,4,6,1,3,9
17:8,4,2,7,1,6,3,9,10,5
18:8,1,2,7,5,9,10,6,3,4
19:4,8,7,10,9,1,2,3,5,6
20:2,4,9,1,10,8,5,7,6,3
21:1,5,8,2,10,6,9,7,3,4
22:9,3,10,2,7,6,5,4,8,1
23:1,4,5,10,8,9,2,7,3,6
24:5,9,10,1,6,2,7,3,8,4
25:3,6,7,9,4,1,2,10,8,5
26:3,10,5,6,8,1,2,9,4,7
27:10,7,3,9,5,2,8,6,4,1
28:3,5,6,10,2,8,7,4,1,9
29:2,10,7,3,6,9,4,1,5,8
30:5,3,2,7,10,8,9,6,4,1
31:1,9,2,4,10,8,3,7,5,6
32:8,5,1,10,2,4,6,9,7,3
33:9,2,5,8,7,4,6,10,3,1
34:3,1,10,2,4,5,6,9,7,8
35:9,4,2,1,7,3,5,8,6,10
36:2,8,6,5,3,9,10,4,1,7
37:1,5,3,6,7,10,8,9,2,4
38:9,1,2,3,8,5,10,7,6,4
39:10,9,2,7,3,4,6,1,5,8
40:7,9,6,10,2,8,4,1,3,5
41:4,9,6,2,5,1,8,10,7,3
42:6,8,5,9,1,7,3,4,2,10
43:7,8,3,10,6,9,1,4,2,5
44:1,4,2,5,10,9,7,8,6,3
45:9,4,6,10,8,7,1,2,3,5
46:6,3,9,8,7,10,2,5,1,4
47:5,6,1,10,7,3,2,9,4,8
48:4,3,8,6,7,2,10,5,9,1
49:5,8,10,2,7,4,9,1,6,3
50:2,10,1,5,4,6,8,9,7,3
51:2,5,9,8,7,1,4,10,6,3
52:9,7,10,8,1,4,5,2,6,3
53:8,5,10,2,7,3,4,9,1,6
54:7,8,10,1,9,4,2,3,5,6
55:3,9,8,1,2,7,4,10,6,5
56:8,1,7,3,4,6,9,2,5,10
57:3,9,6,8,1,5,7,2,4,10
58:5,6,9,8,3,1,10,4,2,7
59:3,6,5,8,10,7,1,9,2,4
60:10,9,1,3,6,4,7,2,5,8
61:10,2,8,9,1,7,5,4,3,6
62:9,4,1,3,8,7,2,10,5,6
63:8,6,7,3,5,4,2,1,10,9
64:5,9,8,2,1,3,4,7,10,6
65:9,3,4,5,7,6,8,1,2,10
66:6,10,5,8,7,9,2,3,1,4
67:9,7,2,5,10,1,6,3,4,8
68:7,8,5,10,3,2,4,6,9,1
69:9,4,3,10,8,1,7,6,2,5
70:3,8,4,1,2,6,5,7,9,10
71:2,10,1,8,3,6,9,4,7,5
72:9,3,8,2,1,4,7,6,5,10
73:6,9,3,7,5,4,8,10,1,2
74:1,6,10,7,3,9,2,5,8,4
75:6,9,8,1,2,3,10,4,7,5
